Loc_ID,Project,latitude,longitude,Status,Building Type
1042936661,Coleman,31.81768102,-99.43120196,Unserved,Home
1042936662,Coleman,31.82392065,-99.43672841,Unserved,Residential
1042936665,Coleman,31.82313067,-99.42643948,Unserved,Home
1042936670,Coleman,31.82795705,-99.41952379,Unserved,Residential
1042936680,Coleman,31.81097035,-99.42470621,Unserved,Residential
1042936693,Coleman,31.81887214,-99.41627346,Unserved,Home
1042936700,Coleman,31.82213857,-99.41925176,Unserved,Residential
1042936701,Coleman,31.81508086,-99.41519535,Unserved,CAI
1042936702,Coleman,31.82532889,-99.43317315,Unserved,Home
1042936715,Coleman,31.81604196,-99.41829066,Unserved,Residential
1042936719,Coleman,31.8154968,-99.42590633,Unserved,Home
1042936726,Coleman,31.8234476,-99.43107894,Unserved,Residential
1042936731,Coleman,31.8234516,-99.42889062,Unserved,Home
1042936732,Coleman,31.8284571,-99.43326716,Unserved,Residential
1042936734,Coleman,31.82170143,-99.43594533,Unserved,Home
1042936737,Coleman,31.81292155,-99.43008984,Unserved,Residential
1042936739,Coleman,32.07288854,-99.20888462,Unserved,Residential
1042936747,Coleman,31.82522888,-99.42548438,Unserved,Home
1042936748,Coleman,31.81256151,-99.43005684,Unserved,Residential
1042936752,Coleman,31.82380064,-99.43721756,Unserved,CAI
1042936761,Coleman,31.82414177,-99.43021286,Unserved,Home
1042936764,Coleman,31.81199145,-99.40332317,Unserved,Residential
1042936767,Coleman,31.81157141,-99.43008984,Unserved,Home
1042936769,Coleman,31.81701706,-99.41727856,Unserved,Residential
1042936779,Coleman,31.82613697,-99.42873961,Unserved,Home
1042936789,Coleman,31.82702706,-99.43214505,Unserved,Residential
1042936790,Coleman,31.81885714,-99.4176565,Unserved,Home
1042936793,Coleman,31.83080134,-99.43175691,Unserved,Residential
1042936794,Coleman,31.82434779,-99.42334517,Unserved,Residential
1042936799,Coleman,31.8304173,-99.43127896,Unserved,Home
1042936802,Coleman,31.82791805,-99.43384012,Unserved,Residential
1042936803,Coleman,31.82434879,-99.41684042,Unserved,CAI
1042936805,Coleman,31.82315267,-99.42926276,Unserved,Home
1042936809,Coleman,31.82298655,-99.43280602,Unserved,Residential
1042936810,Coleman,31.82697795,-99.42912375,Unserved,Home
1042936815,Coleman,31.80860812,-99.43047388,Unserved,Residential
1042936822,Coleman,31.81468072,-99.42759559,Unserved,Home
1042936823,Coleman,31.83058231,-99.4316849,Unserved,Residential
1042936824,Coleman,31.82760102,-99.42646748,Unserved,Home
1042936826,Coleman,31.83117847,-99.43006284,Unserved,Residential
1042936827,Coleman,31.81555081,-99.42143998,Unserved,Residential
1042936828,Coleman,31.81455771,-99.42108994,Unserved,Home
1042936839,Coleman,31.82383264,-99.43158499,Unserved,Residential
1042936843,Coleman,31.82702706,-99.4246342,Unserved,CAI
1042936846,Coleman,31.82569082,-99.43382812,Unserved,Home
1042936847,Coleman,31.827438,-99.41904074,Unserved,Residential
1042936849,Coleman,31.82586884,-99.42326216,Unserved,Home
1042936859,Coleman,31.82318167,-99.42025686,Unserved,Residential
1042936867,Coleman,31.8204503,-99.4306958,Unserved,Home
1042936870,Coleman,31.87077233,-99.45674041,Unserved,Residential
1042936872,Coleman,31.82295755,-99.42745658,Unserved,Home
1042936873,Coleman,31.827451,-99.42744558,Unserved,Residential
1042936880,Coleman,31.82577883,-99.42498423,Unserved,Residential
1042936881,Coleman,31.81965022,-99.42541738,Unserved,Home
1042936895,Coleman,31.82132149,-99.41832367,Unserved,Residential
1042936901,Coleman,31.81700806,-99.41708454,Unserved,CAI
1042936903,Coleman,31.82700606,-99.42001784,Unserved,Home
1042936906,Coleman,31.81988624,-99.43113995,Unserved,Residential
1042936915,Coleman,31.81337169,-99.41784552,Unserved,Home
1042936919,Coleman,31.82295055,-99.43452829,Unserved,Residential
1042936921,Coleman,31.82262752,-99.43777851,Unserved,Home
1042936925,Coleman,31.82257851,-99.43017385,Unserved,Residential
1042936927,Coleman,31.9864679,-99.62247808,Unserved,Home
1042936931,Coleman,31.83377763,-99.42850169,Unserved,Residential
1042936933,Coleman,31.82130849,-99.42997373,Unserved,Residential
